departure_date,arrival_date,flight_duration_hours,flight_cost,flight_class,departure_city,departure_country,arrival_city,arrival_country
2025-07-16,2025-07-16,8,970.8,First,Tokyo,Japan,Sydney,Australia
2025-07-16,2025-07-16,6,659.45,Business,Tokyo,Japan,Rome,Italy
2025-07-16,2025-07-16,5,1080.69,First,Tokyo,Japan,Bangkok,Thailand
2025-07-16,2025-07-16,8,967.27,First,Tokyo,Japan,Singapore,Singapore
2025-07-16,2025-07-17,11,239.56,Economy,Dubai,United Arab Emirates,New York City,USA
2025-07-16,2025-07-17,12,1087.44,First,Dubai,United Arab Emirates,Los Angeles,USA
2025-07-16,2025-07-16,9,1000.73,First,Dubai,United Arab Emirates,London,United Kingdom
2025-07-16,2025-07-16,8,1088.9,First,Dubai,United Arab Emirates,Paris,France
2025-07-16,2025-07-16,10,233.45,Economy,Dubai,United Arab Emirates,Tokyo,Japan
2025-07-16,2025-07-16,6,899.36,First,Dubai,United Arab Emirates,Sydney,Australia
2025-07-16,2025-07-16,5,544.55,Business,Dubai,United Arab Emirates,Rome,Italy
2025-07-16,2025-07-16,5,650.21,Business,Dubai,United Arab Emirates,Bangkok,Thailand
2025-07-16,2025-07-17,11,1136.26,First,Dubai,United Arab Emirates,Singapore,Singapore
2025-07-16,2025-07-17,11,229.93,Economy,Sydney,Australia,New York City,USA
2025-07-16,2025-07-16,4,694.84,Business,Sydney,Australia,Los Angeles,USA
2025-07-16,2025-07-16,2,563.4,Business,Sydney,Australia,London,United Kingdom
2025-07-16,2025-07-16,2,104.13,Economy,Sydney,Australia,Paris,France
2025-07-16,2025-07-16,4,1187.05,First,Sydney,Australia,Tokyo,Japan
2025-07-16,2025-07-17,11,472.11,Business,Sydney,Australia,Dubai,United Arab Emirates
2025-07-16,2025-07-16,5,134.38,Economy,Sydney,Australia,Rome,Italy
2025-07-16,2025-07-16,4,538.13,Business,Sydney,Australia,Bangkok,Thailand
2025-07-16,2025-07-16,3,274.11,Economy,Sydney,Australia,Singapore,Singapore
2025-07-16,2025-07-16,3,1050.79,First,Rome,Italy,New York City,USA
2025-07-16,2025-07-16,2,886.43,First,Rome,Italy,Los Angeles,USA
2025-07-16,2025-07-16,9,609.27,Business,Rome,Italy,London,United Kingdom
2025-07-16,2025-07-17,12,285.02,Economy,Rome,Italy,Paris,France
2025-07-16,2025-07-17,11,580.77,Business,Rome,Italy,Tokyo,Japan
2025-07-16,2025-07-16,4,635.85,Business,Rome,Italy,Dubai,United Arab Emirates
2025-07-16,2025-07-16,6,425.66,Business,Rome,Italy,Sydney,Australia
2025-07-16,2025-07-16,9,101.28,Economy,Rome,Italy,Bangkok,Thailand
2025-07-16,2025-07-17,11,126.5,Economy,Rome,Italy,Singapore,Singapore
2025-07-16,2025-07-16,9,968.71,First,Bangkok,Thailand,New York City,USA
2025-07-16,2025-07-17,11,545.39,Business,Bangkok,Thailand,Los Angeles,USA
2025-07-16,2025-07-16,8,1194.17,First,Bangkok,Thailand,London,United Kingdom
2025-07-16,2025-07-16,5,915.29,First,Bangkok,Thailand,Paris,France
2025-07-16,2025-07-16,8,555.8,Business,Bangkok,Thailand,Tokyo,Japan
2025-07-16,2025-07-16,7,118.87,Economy,Bangkok,Thailand,Dubai,United Arab Emirates
2025-07-16,2025-07-16,2,606.48,Business,Bangkok,Thailand,Sydney,Australia
2025-07-16,2025-07-16,10,594.42,Business,Bangkok,Thailand,Rome,Italy
2025-07-16,2025-07-16,2,459.79,Business,Bangkok,Thailand,Singapore,Singapore
2025-07-16,2025-07-16,3,1152.7,First,Singapore,Singapore,New York City,USA
2025-07-16,2025-07-17,11,534.78,Business,Singapore,Singapore,Los Angeles,USA
2025-07-16,2025-07-16,5,812.54,First,Singapore,Singapore,London,United Kingdom
2025-07-16,2025-07-17,12,1162.36,First,Singapore,Singapore,Paris,France
2025-07-16,2025-07-16,5,1109.24,First,Singapore,Singapore,Tokyo,Japan
2025-07-16,2025-07-16,2,187.81,Economy,Singapore,Singapore,Dubai,United Arab Emirates
2025-07-16,2025-07-16,7,266.93,Economy,Singapore,Singapore,Sydney,Australia
2025-07-16,2025-07-16,6,1150.07,First,Singapore,Singapore,Rome,Italy
2025-07-16,2025-07-16,4,427.32,Business,Singapore,Singapore,Bangkok,Thailand
2025-07-17,2025-07-17,6,124.82,Economy,New York City,USA,Los Angeles,USA
2025-07-17,2025-07-17,9,880.87,First,New York City,USA,London,United Kingdom
2025-07-17,2025-07-17,7,1103.15,First,New York City,USA,Paris,France
2025-07-17,2025-07-17,4,230.84,Economy,New York City,USA,Tokyo,Japan
2025-07-17,2025-07-18,12,586.63,Business,New York City,USA,Dubai,United Arab Emirates
2025-07-17,2025-07-17,6,541.82,Business,New York City,USA,Sydney,Australia
2025-07-17,2025-07-17,5,1126.78,First,New York City,USA,Rome,Italy
2025-07-17,2025-07-17,10,159.94,Economy,New York City,USA,Bangkok,Thailand
2025-07-17,2025-07-17,7,934.33,First,New York City,USA,Singapore,Singapore
2025-07-17,2025-07-17,9,975.3,First,Los Angeles,USA,New York City,USA
2025-07-17,2025-07-18,11,110.49,Economy,Los Angeles,USA,London,United Kingdom
2025-07-17,2025-07-17,3,125.96,Economy,Los Angeles,USA,Paris,France
2025-07-17,2025-07-17,3,237.51,Economy,Los Angeles,USA,Tokyo,Japan
2025-07-17,2025-07-17,2,986.85,First,Los Angeles,USA,Dubai,United Arab Emirates
2025-07-17,2025-07-17,6,421.5,Business,Los Angeles,USA,Sydney,Australia
2025-07-17,2025-07-17,9,505.63,Business,Los Angeles,USA,Rome,Italy
2025-07-17,2025-07-17,6,1181.6,First,Los Angeles,USA,Bangkok,Thailand
2025-07-17,2025-07-17,8,854.04,First,Los Angeles,USA,Singapore,Singapore
2025-07-17,2025-07-18,12,527.82,Business,London,United Kingdom,New York City,USA
2025-07-17,2025-07-17,10,296.32,Economy,London,United Kingdom,Los Angeles,USA
2025-07-17,2025-07-17,2,883.71,First,London,United Kingdom,Paris,France
2025-07-17,2025-07-17,9,456.85,Business,London,United Kingdom,Tokyo,Japan
2025-07-17,2025-07-17,5,567.94,Business,London,United Kingdom,Dubai,United Arab Emirates
2025-07-17,2025-07-17,5,590.04,Business,London,United Kingdom,Sydney,Australia
2025-07-17,2025-07-17,2,413.31,Business,London,United Kingdom,Rome,Italy
2025-07-17,2025-07-17,9,877.47,First,London,United Kingdom,Bangkok,Thailand
2025-07-17,2025-07-17,4,813.5,First,London,United Kingdom,Singapore,Singapore
2025-07-17,2025-07-17,4,482.78,Business,Paris,France,New York City,USA
2025-07-17,2025-07-18,12,1012.52,First,Paris,France,Los Angeles,USA
2025-07-17,2025-07-18,12,694.31,Business,Paris,France,London,United Kingdom
2025-07-17,2025-07-17,5,965.8,First,Paris,France,Tokyo,Japan
2025-07-17,2025-07-17,4,450.7,Business,Paris,France,Dubai,United Arab Emirates
2025-07-17,2025-07-17,9,562.52,Business,Paris,France,Sydney,Australia
2025-07-17,2025-07-17,6,169.53,Economy,Paris,France,Rome,Italy
2025-07-17,2025-07-17,7,121.75,Economy,Paris,France,Bangkok,Thailand
2025-07-17,2025-07-17,7,221.56,Economy,Paris,France,Singapore,Singapore
2025-07-17,2025-07-17,8,540.33,Business,Tokyo,Japan,New York City,USA
2025-07-17,2025-07-17,9,614.36,Business,Tokyo,Japan,Los Angeles,USA
2025-07-17,2025-07-17,5,216.91,Economy,Tokyo,Japan,London,United Kingdom
2025-07-17,2025-07-17,8,209.15,Economy,Tokyo,Japan,Paris,France
2025-07-17,2025-07-17,2,1019.91,First,Tokyo,Japan,Dubai,United Arab Emirates
2025-07-17,2025-07-17,7,129.44,Economy,Tokyo,Japan,Sydney,Australia
2025-07-17,2025-07-18,12,435.23,Business,Tokyo,Japan,Rome,Italy
2025-07-17,2025-07-17,7,432.55,Business,Tokyo,Japan,Bangkok,Thailand
2025-07-17,2025-07-17,4,194.01,Economy,Tokyo,Japan,Singapore,Singapore
2025-07-17,2025-07-17,8,880.81,First,Dubai,United Arab Emirates,New York City,USA
2025-07-17,2025-07-17,5,886.85,First,Dubai,United Arab Emirates,Los Angeles,USA
2025-07-17,2025-07-17,10,216.62,Economy,Dubai,United Arab Emirates,London,United Kingdom
2025-07-17,2025-07-17,5,169.62,Economy,Dubai,United Arab Emirates,Paris,France
2025-07-17,2025-07-17,4,184.37,Economy,Dubai,United Arab Emirates,Tokyo,Japan
2025-07-17,2025-07-17,8,1159.16,First,Dubai,United Arab Emirates,Sydney,Australia
2025-07-17,2025-07-17,2,276.37,Economy,Dubai,United Arab Emirates,Rome,Italy
2025-07-17,2025-07-17,10,1110.68,First,Dubai,United Arab Emirates,Bangkok,Thailand
2025-07-17,2025-07-17,6,824.94,First,Dubai,United Arab Emirates,Singapore,Singapore
2025-07-17,2025-07-17,7,563.84,Business,Sydney,Australia,New York City,USA
2025-07-17,2025-07-17,10,277.8,Economy,Sydney,Australia,Los Angeles,USA
2025-07-17,2025-07-17,2,154.1,Economy,Sydney,Australia,London,United Kingdom
2025-07-17,2025-07-17,3,482.76,Business,Sydney,Australia,Paris,France
2025-07-17,2025-07-17,3,916.79,First,Sydney,Australia,Tokyo,Japan
2025-07-17,2025-07-17,9,298.82,Economy,Sydney,Australia,Dubai,United Arab Emirates
2025-07-17,2025-07-17,4,242.42,Economy,Sydney,Australia,Rome,Italy
2025-07-17,2025-07-17,6,699.74,Business,Sydney,Australia,Bangkok,Thailand
2025-07-17,2025-07-17,8,182.91,Economy,Sydney,Australia,Singapore,Singapore
2025-07-17,2025-07-17,10,1019.79,First,Rome,Italy,New York City,USA
2025-07-17,2025-07-17,4,138.07,Economy,Rome,Italy,Los Angeles,USA
2025-07-17,2025-07-17,6,199.11,Economy,Rome,Italy,London,United Kingdom
2025-07-17,2025-07-17,5,299.63,Economy,Rome,Italy,Paris,France
2025-07-17,2025-07-17,8,870.6,First,Rome,Italy,Tokyo,Japan
2025-07-17,2025-07-17,8,593.52,Business,Rome,Italy,Dubai,United Arab Emirates
2025-07-17,2025-07-17,2,271.94,Economy,Rome,Italy,Sydney,Australia
2025-07-17,2025-07-17,7,1018.71,First,Rome,Italy,Bangkok,Thailand
2025-07-17,2025-07-17,5,622.48,Business,Rome,Italy,Singapore,Singapore
2025-07-17,2025-07-17,6,1053.55,First,Bangkok,Thailand,New York City,USA
2025-07-17,2025-07-17,7,1153.9,First,Bangkok,Thailand,Los Angeles,USA
2025-07-17,2025-07-17,7,495.29,Business,Bangkok,Thailand,London,United Kingdom
2025-07-17,2025-07-17,7,665.74,Business,Bangkok,Thailand,Paris,France
2025-07-17,2025-07-17,5,205.15,Economy,Bangkok,Thailand,Tokyo,Japan
2025-07-17,2025-07-17,6,597.47,Business,Bangkok,Thailand,Dubai,United Arab Emirates
2025-07-17,2025-07-17,2,801.01,First,Bangkok,Thailand,Sydney,Australia
2025-07-17,2025-07-17,8,419.2,Business,Bangkok,Thailand,Rome,Italy
2025-07-17,2025-07-18,11,139.1,Economy,Bangkok,Thailand,Singapore,Singapore
2025-07-17,2025-07-17,5,657.61,Business,Singapore,Singapore,New York City,USA
2025-07-17,2025-07-17,9,1000.24,First,Singapore,Singapore,Los Angeles,USA
2025-07-17,2025-07-17,8,424.57,Business,Singapore,Singapore,London,United Kingdom
2025-07-17,2025-07-17,10,680.04,Business,Singapore,Singapore,Paris,France
2025-07-17,2025-07-18,12,586.55,Business,Singapore,Singapore,Tokyo,Japan
2025-07-17,2025-07-18,12,840.19,First,Singapore,Singapore,Dubai,United Arab Emirates
2025-07-17,2025-07-17,5,420.99,Business,Singapore,Singapore,Sydney,Australia
2025-07-17,2025-07-17,9,258.63,Economy,Singapore,Singapore,Rome,Italy
2025-07-17,2025-07-18,11,466.69,Business,Singapore,Singapore,Bangkok,Thailand
2025-07-18,2025-07-18,2,290.11,Economy,New York City,USA,Los Angeles,USA
2025-07-18,2025-07-18,5,1008.22,First,New York City,USA,London,United Kingdom
2025-07-18,2025-07-18,4,158.98,Economy,New York City,USA,Paris,France
2025-07-18,2025-07-18,8,553.18,Business,New York City,USA,Tokyo,Japan
2025-07-18,2025-07-18,4,145.94,Economy,New York City,USA,Dubai,United Arab Emirates
2025-07-18,2025-07-18,10,950.34,First,New York City,USA,Sydney,Australia
2025-07-18,2025-07-18,4,950.19,First,New York City,USA,Rome,Italy
2025-07-18,2025-07-18,3,186.23,Economy,New York City,USA,Bangkok,Thailand
2025-07-18,2025-07-18,7,808.44,First,New York City,USA,Singapore,Singapore
2025-07-18,2025-07-18,3,524.22,Business,Los Angeles,USA,New York City,USA
2025-07-18,2025-07-18,7,1139.1,First,Los Angeles,USA,London,United Kingdom
2025-07-18,2025-07-18,5,138.15,Economy,Los Angeles,USA,Paris,France
2025-07-18,2025-07-18,6,136.14,Economy,Los Angeles,USA,Tokyo,Japan
2025-07-18,2025-07-18,10,994.74,First,Los Angeles,USA,Dubai,United Arab Emirates
2025-07-18,2025-07-18,3,176.34,Economy,Los Angeles,USA,Sydney,Australia
2025-07-18,2025-07-19,12,959.72,First,Los Angeles,USA,Rome,Italy
2025-07-18,2025-07-18,5,447.39,Business,Los Angeles,USA,Bangkok,Thailand
2025-07-18,2025-07-18,7,1101.95,First,Los Angeles,USA,Singapore,Singapore
2025-07-18,2025-07-19,11,1095.77,First,London,United Kingdom,New York City,USA
2025-07-18,2025-07-18,10,181.79,Economy,London,United Kingdom,Los Angeles,USA
2025-07-18,2025-07-18,3,1011.81,First,London,United Kingdom,Paris,France
2025-07-18,2025-07-18,2,832.8,First,London,United Kingdom,Tokyo,Japan
2025-07-18,2025-07-18,4,976.43,First,London,United Kingdom,Dubai,United Arab Emirates
2025-07-18,2025-07-18,6,135.27,Economy,London,United Kingdom,Sydney,Australia
2025-07-18,2025-07-18,5,640.5,Business,London,United Kingdom,Rome,Italy
2025-07-18,2025-07-18,6,527.31,Business,London,United Kingdom,Bangkok,Thailand
2025-07-18,2025-07-18,2,846.47,First,London,United Kingdom,Singapore,Singapore
2025-07-18,2025-07-19,12,180.69,Economy,Paris,France,New York City,USA
2025-07-18,2025-07-18,6,984.56,First,Paris,France,Los Angeles,USA
2025-07-18,2025-07-18,4,927.08,First,Paris,France,London,United Kingdom
2025-07-18,2025-07-18,6,984.1,First,Paris,France,Tokyo,Japan
2025-07-18,2025-07-18,3,668.45,Business,Paris,France,Dubai,United Arab Emirates
2025-07-18,2025-07-18,8,493.76,Business,Paris,France,Sydney,Australia
2025-07-18,2025-07-18,2,872.0,First,Paris,France,Rome,Italy
2025-07-18,2025-07-18,10,264.45,Economy,Paris,France,Bangkok,Thailand
2025-07-18,2025-07-18,9,636.4,Business,Paris,France,Singapore,Singapore
2025-07-18,2025-07-18,5,207.01,Economy,Tokyo,Japan,New York City,USA
2025-07-18,2025-07-18,4,494.41,Business,Tokyo,Japan,Los Angeles,USA
2025-07-18,2025-07-19,11,267.22,Economy,Tokyo,Japan,London,United Kingdom
2025-07-18,2025-07-18,9,1168.61,First,Tokyo,Japan,Paris,France
2025-07-18,2025-07-19,11,458.14,Business,Tokyo,Japan,Dubai,United Arab Emirates
2025-07-18,2025-07-18,9,118.43,Economy,Tokyo,Japan,Sydney,Australia
2025-07-18,2025-07-19,12,840.19,First,Tokyo,Japan,Rome,Italy
2025-07-18,2025-07-18,3,886.07,First,Tokyo,Japan,Bangkok,Thailand
2025-07-18,2025-07-18,7,890.95,First,Tokyo,Japan,Singapore,Singapore
2025-07-18,2025-07-18,5,132.34,Economy,Dubai,United Arab Emirates,New York City,USA
2025-07-18,2025-07-18,5,188.95,Economy,Dubai,United Arab Emirates,Los Angeles,USA
2025-07-18,2025-07-18,4,930.12,First,Dubai,United Arab Emirates,London,United Kingdom
2025-07-18,2025-07-18,7,264.56,Economy,Dubai,United Arab Emirates,Paris,France
2025-07-18,2025-07-18,8,437.78,Business,Dubai,United Arab Emirates,Tokyo,Japan
2025-07-18,2025-07-19,12,903.2,First,Dubai,United Arab Emirates,Sydney,Australia
2025-07-18,2025-07-18,8,555.55,Business,Dubai,United Arab Emirates,Rome,Italy
2025-07-18,2025-07-19,12,1198.72,First,Dubai,United Arab Emirates,Bangkok,Thailand
2025-07-18,2025-07-18,9,190.93,Economy,Dubai,United Arab Emirates,Singapore,Singapore
2025-07-18,2025-07-18,10,163.47,Economy,Sydney,Australia,New York City,USA
2025-07-18,2025-07-18,3,941.18,First,Sydney,Australia,Los Angeles,USA
2025-07-18,2025-07-19,11,256.25,Economy,Sydney,Australia,London,United Kingdom
2025-07-18,2025-07-18,5,1139.8,First,Sydney,Australia,Paris,France
2025-07-18,2025-07-19,12,462.27,Business,Sydney,Australia,Tokyo,Japan
2025-07-18,2025-07-18,8,865.74,First,Sydney,Australia,Dubai,United Arab Emirates
2025-07-18,2025-07-18,5,589.6,Business,Sydney,Australia,Rome,Italy
2025-07-18,2025-07-19,11,931.98,First,Sydney,Australia,Bangkok,Thailand
2025-07-18,2025-07-18,5,645.48,Business,Sydney,Australia,Singapore,Singapore
2025-07-18,2025-07-18,3,873.04,First,Rome,Italy,New York City,USA
2025-07-18,2025-07-19,11,225.16,Economy,Rome,Italy,Los Angeles,USA
2025-07-18,2025-07-19,11,595.19,Business,Rome,Italy,London,United Kingdom
2025-07-18,2025-07-19,12,500.6,Business,Rome,Italy,Paris,France
2025-07-18,2025-07-18,7,497.28,Business,Rome,Italy,Tokyo,Japan
2025-07-18,2025-07-18,10,1179.8,First,Rome,Italy,Dubai,United Arab Emirates
2025-07-18,2025-07-19,11,1118.12,First,Rome,Italy,Sydney,Australia
2025-07-18,2025-07-18,9,1066.38,First,Rome,Italy,Bangkok,Thailand
2025-07-18,2025-07-18,9,534.59,Business,Rome,Italy,Singapore,Singapore
2025-07-18,2025-07-18,6,435.7,Business,Bangkok,Thailand,New York City,USA
2025-07-18,2025-07-18,10,1159.1,First,Bangkok,Thailand,Los Angeles,USA
2025-07-18,2025-07-18,3,652.94,Business,Bangkok,Thailand,London,United Kingdom
2025-07-18,2025-07-18,10,911.36,First,Bangkok,Thailand,Paris,France
2025-07-18,2025-07-18,10,133.42,Economy,Bangkok,Thailand,Tokyo,Japan
2025-07-18,2025-07-18,5,276.79,Economy,Bangkok,Thailand,Dubai,United Arab Emirates
2025-07-18,2025-07-18,5,224.66,Economy,Bangkok,Thailand,Sydney,Australia
2025-07-18,2025-07-18,4,991.84,First,Bangkok,Thailand,Rome,Italy
2025-07-18,2025-07-18,10,116.27,Economy,Bangkok,Thailand,Singapore,Singapore
2025-07-18,2025-07-18,3,410.44,Business,Singapore,Singapore,New York City,USA
2025-07-18,2025-07-18,3,123.22,Economy,Singapore,Singapore,Los Angeles,USA
2025-07-18,2025-07-19,12,989.51,First,Singapore,Singapore,London,United Kingdom
2025-07-18,2025-07-18,5,182.52,Economy,Singapore,Singapore,Paris,France
2025-07-18,2025-07-18,10,514.36,Business,Singapore,Singapore,Tokyo,Japan
2025-07-18,2025-07-18,5,296.37,Economy,Singapore,Singapore,Dubai,United Arab Emirates
2025-07-18,2025-07-18,2,154.64,Economy,Singapore,Singapore,Sydney,Australia
2025-07-18,2025-07-18,8,538.9,Business,Singapore,Singapore,Rome,Italy
2025-07-18,2025-07-18,6,257.28,Economy,Singapore,Singapore,Bangkok,Thailand
2025-07-19,2025-07-19,4,116.88,Economy,New York City,USA,Los Angeles,USA
2025-07-19,2025-07-19,5,871.0,First,New York City,USA,London,United Kingdom
2025-07-19,2025-07-19,3,276.22,Economy,New York City,USA,Paris,France
2025-07-19,2025-07-19,9,484.24,Business,New York City,USA,Tokyo,Japan
2025-07-19,2025-07-19,7,249.23,Economy,New York City,USA,Dubai,United Arab Emirates
2025-07-19,2025-07-19,6,1182.02,First,New York City,USA,Sydney,Australia
2025-07-19,2025-07-19,2,124.03,Economy,New York City,USA,Rome,Italy
2025-07-19,2025-07-20,12,688.21,Business,New York City,USA,Bangkok,Thailand
2025-07-19,2025-07-20,11,1090.33,First,New York City,USA,Singapore,Singapore
2025-07-19,2025-07-19,6,1071.34,First,Los Angeles,USA,New York City,USA
2025-07-19,2025-07-19,4,486.71,Business,Los Angeles,USA,London,United Kingdom
2025-07-19,2025-07-19,2,103.56,Economy,Los Angeles,USA,Paris,France
2025-07-19,2025-07-19,10,1186.41,First,Los Angeles,USA,Tokyo,Japan
2025-07-19,2025-07-19,2,190.3,Economy,Los Angeles,USA,Dubai,United Arab Emirates
2025-07-19,2025-07-19,3,544.99,Business,Los Angeles,USA,Sydney,Australia
2025-07-19,2025-07-19,5,1149.37,First,Los Angeles,USA,Rome,Italy
2025-07-19,2025-07-19,5,517.25,Business,Los Angeles,USA,Bangkok,Thailand
2025-07-19,2025-07-19,7,664.77,Business,Los Angeles,USA,Singapore,Singapore
2025-07-19,2025-07-19,10,441.53,Business,London,United Kingdom,New York City,USA
2025-07-19,2025-07-19,7,1130.99,First,London,United Kingdom,Los Angeles,USA
2025-07-19,2025-07-19,4,494.62,Business,London,United Kingdom,Paris,France
2025-07-19,2025-07-19,9,232.09,Economy,London,United Kingdom,Tokyo,Japan
2025-07-19,2025-07-19,6,646.36,Business,London,United Kingdom,Dubai,United Arab Emirates
2025-07-19,2025-07-19,8,1068.18,First,London,United Kingdom,Sydney,Australia
2025-07-19,2025-07-19,5,422.49,Business,London,United Kingdom,Rome,Italy
2025-07-19,2025-07-19,4,820.38,First,London,United Kingdom,Bangkok,Thailand
2025-07-19,2025-07-20,11,136.82,Economy,London,United Kingdom,Singapore,Singapore
2025-07-19,2025-07-19,6,1125.15,First,Paris,France,New York City,USA
2025-07-19,2025-07-19,8,880.7,First,Paris,France,Los Angeles,USA
2025-07-19,2025-07-19,10,950.71,First,Paris,France,London,United Kingdom
2025-07-19,2025-07-19,5,843.34,First,Paris,France,Tokyo,Japan
2025-07-19,2025-07-19,4,1081.38,First,Paris,France,Dubai,United Arab Emirates
2025-07-19,2025-07-19,9,1064.82,First,Paris,France,Sydney,Australia
2025-07-19,2025-07-20,12,250.29,Economy,Paris,France,Rome,Italy
2025-07-19,2025-07-19,9,668.42,Business,Paris,France,Bangkok,Thailand
2025-07-19,2025-07-20,12,1021.42,First,Paris,France,Singapore,Singapore
2025-07-19,2025-07-19,2,683.95,Business,Tokyo,Japan,New York City,USA
2025-07-19,2025-07-19,3,997.18,First,Tokyo,Japan,Los Angeles,USA
2025-07-19,2025-07-19,2,282.53,Economy,Tokyo,Japan,London,United Kingdom
2025-07-19,2025-07-19,8,1098.44,First,Tokyo,Japan,Paris,France
2025-07-19,2025-07-19,4,509.09,Business,Tokyo,Japan,Dubai,United Arab Emirates
2025-07-19,2025-07-19,2,475.69,Business,Tokyo,Japan,Sydney,Australia
2025-07-19,2025-07-19,2,243.65,Economy,Tokyo,Japan,Rome,Italy
2025-07-19,2025-07-19,7,692.12,Business,Tokyo,Japan,Bangkok,Thailand
2025-07-19,2025-07-19,9,1113.14,First,Tokyo,Japan,Singapore,Singapore
2025-07-19,2025-07-19,10,890.35,First,Dubai,United Arab Emirates,New York City,USA
2025-07-19,2025-07-19,8,252.04,Economy,Dubai,United Arab Emirates,Los Angeles,USA
2025-07-19,2025-07-19,5,243.34,Economy,Dubai,United Arab Emirates,London,United Kingdom
2025-07-19,2025-07-19,4,198.12,Economy,Dubai,United Arab Emirates,Paris,France
2025-07-19,2025-07-20,11,422.74,Business,Dubai,United Arab Emirates,Tokyo,Japan
2025-07-19,2025-07-19,9,220.06,Economy,Dubai,United Arab Emirates,Sydney,Australia
2025-07-19,2025-07-19,3,1036.61,First,Dubai,United Arab Emirates,Rome,Italy
2025-07-19,2025-07-19,3,415.42,Business,Dubai,United Arab Emirates,Bangkok,Thailand
2025-07-19,2025-07-19,4,475.94,Business,Dubai,United Arab Emirates,Singapore,Singapore
2025-07-19,2025-07-19,7,568.41,Business,Sydney,Australia,New York City,USA
2025-07-19,2025-07-19,5,419.26,Business,Sydney,Australia,Los Angeles,USA
2025-07-19,2025-07-19,8,293.68,Economy,Sydney,Australia,London,United Kingdom
2025-07-19,2025-07-19,10,655.97,Business,Sydney,Australia,Paris,France
2025-07-19,2025-07-19,7,1043.22,First,Sydney,Australia,Tokyo,Japan
2025-07-19,2025-07-19,10,152.36,Economy,Sydney,Australia,Dubai,United Arab Emirates
2025-07-19,2025-07-19,7,255.45,Economy,Sydney,Australia,Rome,Italy
